<geometry>
Goal: Draw a four-pointed star with a square in the center and triangles on each side pointing outward, where the points of the star go diagonally rather than straight up or sideways. The star resembles a compass rose.

Canvas/scale: The star will fit within a 500x500 pixel area centered at the origin.

Main shapes:
- Square
- Triangle

Drawing order:
1. Draw the square.
106. Draw the hundred-twelfth triangle.
107. Draw the hundred-thirteenth triangle.
108. Draw the hundred-fourteenth triangle.
109. Draw the hundred-fifteenth triangle.
110. Draw the hundred-sixteenth triangle.
111. Draw the hundred-seventeenth triangle.
112. Draw the hundred-eighteenth triangle.
113. Draw the hundred-nineteenth triangle.
114. Draw the hundred-twentieth triangle.
115. Draw the hundred-twenty-first triangle.
116. Draw the hundred-twenty-second triangle.
117. Draw the hundred-twenty-third triangle.
118. Draw the hundred-twenty-fourth triangle.
119. Draw the hundred-twenty-fifth triangle.
120. Draw the hundred-twenty-sixth triangle.
121. Draw the hundred-twenty-seventh triangle.
122. Draw the hundred-twenty-eighth triangle.
123. Draw the hundred-twenty-ninth triangle.
124. Draw the hundred-thirty-first triangle.
125. Draw the hundred-thirty-second triangle.
126. Draw the hundred-thirty-third triangle.
127. Draw the hundred-thirty-fourth triangle.
128. Draw the hundred-thirty-fifth triangle.
129. Draw the hundred-thirty-sixth triangle.
130. Draw the hundred-thirty-seventh triangle.
131. Draw the hundred-thirty-eighth triangle.
132. Draw the hundred-thirty-ninth triangle.
133. Draw the hundred-fourty-first triangle.
134. Draw the hundred-fourty-second triangle.
135. Draw the hundred-fourty-third triangle.
136. Draw the hundred-fourty-fourth triangle.
137. Draw the hundred-fourty-fifth triangle.
138. Draw the hundred-fourty-sixth triangle.
139. Draw the hundred-fourty-seventh triangle.
140. Draw the hundred-fourty-eighth triangle.
141. Draw the hundred-fourty-ninth triangle.
142. Draw the hundred-fifty-first triangle.
143. Draw the hundred-fifty-second triangle.
144. Draw the hundred-fifty-third triangle.
145. Draw the hundred-fifty-fourth triangle.
146. Draw the hundred-fifty-fifth triangle.
147. Draw the hundred-fifty-sixth triangle.
148. Draw the hundred-fifty-seventh triangle.
149. Draw the hundred-fifty-eighth triangle.
150. Draw the hundred-fifty-ninth triangle.
151. Draw the hundred-sixty-first triangle.
152. Draw the hundred-sixty-second triangle.
153. Draw the hundred-sixty-third triangle.
154. Draw the hundred-sixty-fourth triangle.
155. Draw the hundred-sixty-fifth triangle.
156. Draw the hundred-sixty-sixth triangle.
157. Draw the hundred-sixty-seventh triangle.
158. Draw the hundred-sixty-eighth triangle.
159. Draw the hundred-sixty-ninth triangle.
160. Draw the hundred-seventy-first triangle.
161. Draw the hundred-seventy-second triangle.
162. Draw the hundred-seventy-third triangle.
163. Draw the hundred-seventy-fourth triangle.
164. Draw the hundred-seventy-fifth triangle.
165. Draw the hundred-seventy-sixth triangle.
166. Draw the hundred-seventy-seventh triangle.
167. Draw the hundred-seventy-eighth triangle.
168. Draw the hundred-seventy-ninth triangle.
169. Draw the hundred-eighty-first triangle.
170. Draw the hundred-eighty-second triangle.
171. Draw the hundred-eighty-third triangle.
172. Draw the hundred-eighty-fourth triangle.
173. Draw the hundred-eighty-fifth triangle.
174. Draw the hundred-eighty-sixth triangle.
175. Draw the hundred-eighty-seventh triangle.
176. Draw the hundred-eighty-eighth triangle.
177. Draw the hundred-eighty-ninth triangle.
178. Draw the hundred-ninety-first triangle.
179. Draw the hundred-ninety-second triangle.
180. Draw the hundred-ninety-third triangle.
181. Draw the hundred-ninety-fourth triangle.
182. Draw the hundred-ninety-fifth triangle.
183. Draw the hundred-ninety-sixth triangle.
184. Draw the hundred-ninety-seventh triangle.
185. Draw the hundred-ninety-eighth triangle.
186. Draw the hundred-ninety-ninth triangle.
187. Draw the hundred-one-hundredth triangle.
188. Draw the hundred-one-hundred-first triangle.
189. Draw the hundred-one-hundred-second triangle.
190. Draw the hundred-one-hundred-third triangle.
191. Draw the hundred-one-hundred-fourth triangle.
192. Draw the hundred-one-hundred-fifth triangle.
193. Draw the hundred-one-hundred-sixth triangle.
194. Draw the hundred-one-hundred-seventh triangle.
195. Draw the hundred-one-hundred-eighth triangle.
196. Draw the hundred-one-hundred-ninth triangle.
197. Draw the hundred-two-hundredth triangle.
198. Draw the hundred-two-hundred-first triangle.
199. Draw the hundred-two-hundred-second triangle.
200. Draw the hundred-two-hundred-third triangle.
201. Draw the hundred-two-hundred-fourth triangle.
202. Draw the hundred-two-hundred-fifth triangle.
203. Draw the hundred-two-hundred-sixth triangle.
204. Draw the hundred-two-hundred-seventh triangle.
205. Draw the hundred-two-hundred-eighth triangle.
206. Draw the hundred-two-hundred-ninth triangle.
207. Draw the hundred-three-hundredth triangle.
208. Draw the hundred-three-hundred-first triangle.
209. Draw the hundred-three-hundred-second triangle.
210. Draw the hundred-three-hundred-third triangle.
211. Draw the hundred-three-hundred-fourth triangle.
212. Draw the hundred-three-hundred-fifth triangle.
213. Draw the hundred-three-hundred-sixth triangle.
214. Draw the hundred-three-hundred-seventh triangle.
215. Draw the hundred-three-hundred-eighth triangle.
216. Draw the hundred-three-hundred-ninth triangle.
217. Draw the hundred-four-hundredth triangle.
218. Draw the hundred-four-hundred-first triangle.
219. Draw the hundred-four-hundred-second triangle.
220. Draw the hundred-four-hundred-third triangle.
221. Draw the hundred-four-hundred-fourth triangle.
222. Draw the hundred-four-hundred-fifth triangle.
223. Draw the hundred-four-hundred-sixth triangle.
224. Draw the hundred-four-hundred-seventh triangle.
225. Draw the hundred-four-hundred-eighth triangle.
226. Draw the hundred-four-hundred-ninth triangle.
227. Draw the hundred-five-hundredth triangle.
228. Draw the hundred-five-hundred-first triangle.
229. Draw the hundred-five-hundred-second triangle.
230. Draw the hundred-five-hundred-third triangle.
231. Draw the hundred-five-hundred-fourth triangle.
232. Draw the hundred-five-hundred-fifth triangle.
233. Draw the hundred-five-hundred-sixth triangle.
234. Draw the hundred-five-hundred-seventh triangle.
235. Draw the hundred-five-hundred-eighth triangle.
236. Draw the hundred-five-hundred-ninth triangle.
237. Draw the hundred-six-hundredth triangle.
238. Draw the hundred-six-hundred-first triangle.
239. Draw the hundred-six-hundred-second triangle.
240. Draw the hundred-six-hundred-third triangle.
241. Draw the hundred-six-hundred-fourth triangle.
242. Draw the hundred-six-hundred-fifth triangle.
243. Draw the hundred-six-hundred-sixth triangle.
244. Draw the hundred-six-hundred-seventh triangle.
245. Draw the hundred-six-hundred-eighth triangle.
246. Draw the hundred-six-hundred-ninth triangle.
247. Draw the hundred-seven-hundredth triangle.
248. Draw the hundred-seven-hundred-first triangle.
249. Draw the hundred-seven-hundred-second triangle.
250. Draw the hundred-seven-hundred-third triangle.
251. Draw the hundred-seven-hundred-fourth triangle.
252. Draw the hundred-seven-hundred-fifth triangle.
253. Draw the hundred-seven-hundred-sixth triangle.
254. Draw the hundred-seven-hundred-seventh triangle.
255. Draw the hundred-seven-hundred-eighth triangle.
256. Draw the hundred-seven-hundred-ninth triangle.
257. Draw the hundred-eight-hundredth triangle.
258. Draw the hundred-eight-hundred-first triangle.
259. Draw the hundred-eight-hundred-second triangle.
260. Draw the hundred-eight-hundred-third triangle.
261. Draw the hundred-eight-hundred-fourth triangle.
262. Draw the hundred-eight-hundred-fifth triangle.
263. Draw the hundred-eight-hundred-sixth triangle.
264. Draw the hundred-eight-hundred-seventh triangle.
265. Draw the hundred-eight-hundred-eighth triangle.
266. Draw the hundred-eight-hundred-ninth triangle.
267. Draw the hundred-nine-hundredth triangle.
268. Draw the hundred-nine-hundred-first triangle.
269. Draw the hundred-nine-hundred-second triangle.
270. Draw the hundred-nine-hundred-third triangle.
271. Draw the hundred-nine-hundred-fourth triangle.
272. Draw the hundred-nine-hundred-fifth triangle.
273. Draw the hundred-nine-hundred-sixth triangle.
274. Draw the hundred-nine-hundred-seventh triangle.
275. Draw the hundred-nine-hundred-eighth triangle.
276. Draw the hundred-nine-hundred-ninth triangle.
277. Draw the hundred-one-hundred-hundredth triangle.
278. Draw the hundred-one-hundred-hundred-first triangle.
279. Draw the hundred-one-hundred-hundred-second triangle.
280. Draw the hundred-one-hundred-hundred-third triangle.
281. Draw the hundred-one-hundred-hundred-fourth triangle.
282. Draw the hundred-one-hundred-hundred-fifth triangle.
283. Draw the hundred-one-hundred-hundred-sixth triangle.
284. Draw the hundred-one-hundred-hundred-seventh triangle.
285. Draw the hundred-one-hundred-hundred-eighth triangle.
286. Draw the hundred-one-hundred-hundred-ninth triangle.
287. Draw the hundred-two-hundred-hundredth triangle.
288. Draw the hundred-two-hundred-hundred-first triangle.
289. Draw the hundred-two-hundred-hundred-second triangle.
290. Draw the hundred-two-hundred-hundred-third triangle.
291. Draw the hundred-two-hundred-hundred-fourth triangle.
292. Draw the hundred-two-hundred-hundred-fifth triangle.
293. Draw the hundred-two-hundred-hundred-sixth triangle.
294. Draw the hundred-two-hundred-hundred-seventh triangle.
295. Draw the hundred-two-hundred-hundred-eighth triangle.
296. Draw the hundred-two-hundred-hundred-ninth triangle.
297. Draw the hundred-three-hundred-hundredth triangle.
298. Draw the hundred-three-hundred-hundred-first triangle.
299. Draw the hundred-three-hundred-hundred-second triangle.
300. Draw the hundred-three-hundred-hundred-third triangle.
301. Draw the hundred-three-hundred-hundred-fourth triangle.
302. Draw the hundred-three-hundred-hundred-fifth triangle.
303. Draw the hundred-three-hundred-hundred-sixth triangle.
304. Draw the hundred-three-hundred-hundred-seventh triangle.
305. Draw the hundred-three-hundred-hundred-eighth triangle.
306. Draw the hundred-three-hundred-hundred-ninth triangle.
307. Draw the hundred-four-hundred-hundredth triangle.
308. Draw the hundred-four-hundred-hundred-first triangle.
309. Draw the hundred-four-hundred-hundred-second triangle.
310. Draw the hundred-four-hundred-hundred-third triangle.
311. Draw the hundred-four-hundred-hundred-fourth triangle.
312. Draw the hundred-four-hundred-hundred-fifth triangle.
313. Draw the hundred-four-hundred-hundred-sixth triangle.
314. Draw the hundred-four-hundred-hundred-seventh triangle.
315. Draw the hundred-four-hundred-hundred-eighth triangle.
316. Draw the hundred-four-hundred-hundred-ninth triangle.
317. Draw the hundred-five-hundred-hundredth triangle.
318. Draw the hundred-five-hundred-hundred-first triangle.
319. Draw the hundred-five-hundred-hundred-second triangle.
320. Draw the hundred-five-hundred-hundred-third triangle.
321. Draw the hundred-five-hundred-hundred-fourth triangle.
322. Draw the hundred-five-hundred-hundred-fifth triangle.
323. Draw the hundred-five-hundred-hundred-sixth triangle.
324. Draw the hundred-five-hundred-hundred-seventh triangle.
325. Draw the hundred-five-hundred-hundred-eighth triangle.
326. Draw the hundred-five-hundred-hundred-ninth triangle.
327. Draw the hundred-six-hundred-hundredth triangle.
328. Draw the hundred-six-hundred-hundred-first triangle.
329. Draw the hundred-six-hundred-hundred-second triangle.
330. Draw the hundred-six-hundred-hundred-third triangle.
331. Draw the hundred-six-hundred-hundred-fourth triangle.
332. Draw the hundred-six-hundred-hundred-fifth triangle.
333. Draw the hundred-six-hundred-hundred-sixth triangle.
334. Draw the hundred-six-hundred-hundred-seventh triangle.
335. Draw the hundred-six-hundred-hundred-eighth triangle.
336. Draw the hundred-six-hundred-hundred-ninth triangle.
337. Draw the hundred-seven-hundred-hundredth triangle.
338. Draw the hundred-seven-hundred-hundred-first triangle.
339. Draw the hundred-seven-hundred-hundred-second triangle.
340. Draw the hundred-seven-hundred-hundred-third triangle.
341. Draw the hundred-seven-hundred-hundred-fourth triangle.
342. Draw the hundred-seven-hundred-hundred-fifth triangle.
343. Draw the hundred-seven-hundred-hundred-sixth triangle.
344. Draw the hundred-seven-hundred-hundred-seventh triangle.
345. Draw the hundred-seven-hundred-hundred-eighth triangle.
346. Draw the hundred-seven-hundred-hundred-ninth triangle.
347. Draw the hundred-eight-hundred-hundredth triangle.
348. Draw the hundred-eight-hundred-hundred-first triangle.
349. Draw the hundred-eight-hundred-hundred-second triangle.
350. Draw the hundred-eight-hundred-hundred-third triangle.
351. Draw the hundred-eight-hundred-hundred-fourth triangle.
352. Draw the hundred-eight-hundred-hundred-fifth triangle.
353. Draw the hundred-eight-hundred-hundred-sixth triangle.
354. Draw the hundred-eight-hundred-hundred-seventh triangle.
355. Draw the hundred-eight-hundred-hundred-eighth triangle.
356. Draw the hundred-eight-hundred-hundred-ninth triangle.
357. Draw the hundred-nine-hundred-hundredth triangle.
358. Draw the hundred-nine-hundred-hundred-first triangle.
359. Draw the hundred-nine-hundred-hundred-second triangle.
360. Draw the hundred-nine-hundred-hundred-third triangle.
361. Draw the hundred-nine-hundred-hundred-fourth triangle.
362. Draw the hundred-nine-hundred-hundred-fifth triangle.
363. Draw the hundred-nine-hundred-hundred-sixth triangle.
364. Draw the hundred-nine-hundred-hundred-seventh triangle.
365. Draw the hundred-nine-hundred-hundred-eighth triangle.
366. Draw the hundred-nine-hundred-hundred-ninth triangle.
367. Draw the hundred-one-hundred-hundred-hundredth triangle.
368. Draw the hundred-one-hundred-hundred-hundred-first triangle.
369. Draw the hundred-one-hundred-hundred-hundred-second triangle.
370. Draw the hundred-one-hundred-hundred-hundred-third triangle.
371. Draw the hundred-one-hundred-hundred-hundred-fourth triangle.
372. Draw the hundred-one-hundred-hundred-hundred-fifth triangle.
373. Draw the hundred-one-hundred-hundred-hundred-sixth triangle.
374. Draw the hundred-one-hundred-hundred-hundred-seventh triangle.
375. Draw the hundred-one-hundred-hundred-hundred-eighth triangle.
376. Draw the hundred-one-hundred-hundred-hundred-ninth triangle.
377. Draw the hundred-two-hundred-hundred-hundredth triangle.
378. Draw the hundred-two-hundred-hundred-hundred-first triangle.
379. Draw the hundred-two-hundred-hundred-hundred-second triangle.
380. Draw the hundred-two-hundred-hundred-hundred-third triangle.
381. Draw the hundred-two-hundred-hundred-hundred-fourth triangle.
382. Draw the hundred-two-hundred-hundred-hundred-fifth triangle.
383. Draw the hundred-two-hundred-hundred-hundred-sixth triangle.
384. Draw the hundred-two-hundred-hundred-hundred-seventh triangle.
385. Draw the hundred-two-hundred-hundred-hundred-eighth triangle.
386. Draw the hundred-two-hundred-hundred-hundred-ninth triangle.
387. Draw the hundred-three-hundred-hundred-hundredth triangle.
388. Draw the hundred-three-hundred-hundred-hundred-first triangle.
389. Draw the hundred-three-hundred-hundred-hundred-second triangle.
390. Draw the hundred-three-hundred-hundred-hundred-third triangle.
391. Draw the hundred-three-hundred-hundred-hundred-fourth triangle.
392. Draw the hundred-three-hundred-hundred-hundred-fifth triangle.
393. Draw the hundred-three-hundred-hundred-hundred-sixth triangle.
394. Draw the hundred-three-hundred-hundred-hundred-seventh triangle.
395. Draw the hundred-three-hundred-hundred-hundred-eighth triangle.
396. Draw the hundred-three-hundred-hundred-hundred-ninth triangle.
397. Draw the hundred-four-hundred-hundred-hundredth triangle.
398. Draw the hundred-four-hundred-hundred-hundred-first triangle.
399. Draw the hundred-four-hundred-hundred-hundred-second triangle.
400. Draw the hundred-four-hundred-hundred-hundred-third triangle.
401. Draw the hundred-four-hundred-hundred-hundred-fourth triangle.
402. Draw the hundred-four-hundred-hundred-hundred-fifth triangle.
403. Draw the hundred-four-hundred-hundred-hundred-sixth triangle.
404. Draw the hundred-four-hundred-hundred-hundred-seventh triangle.
405. Draw the hundred-four-hundred-hundred-hundred-eighth triangle.
406. Draw the hundred-four-hundred-hundred-hundred-ninth triangle.
407. Draw the hundred-five-hundred-hundred-hundredth triangle.
408. Draw the hundred-five-hundred-hundred-hundred-first triangle.
409. Draw the hundred-five-hundred-hundred-hundred-second triangle.
410. Draw the hundred-five-hundred-hundred-hundred-third triangle.
411. Draw the hundred-five-hundred-hundred-hundred-fourth triangle.
412. Draw the hundred-five-hundred-hundred-hundred-fifth triangle.
413. Draw the hundred-five-hundred-hundred-hundred-sixth triangle.
414. Draw the hundred-five-hundred-hundred-hundred-seventh triangle.
415. Draw the hundred-five-hundred-hundred-hundred-eighth triangle.
416. Draw the hundred-five-hundred-hundred-hundred-ninth triangle.
417. Draw the hundred-six-hundred-hundred-hundredth triangle.
418. Draw the hundred-six-hundred-hundred-hundred-first triangle.
419. Draw the hundred-six-hundred-hundred-hundred-second triangle.
420. Draw the hundred-six-hundred-hundred-hundred-third triangle.
421. Draw the hundred-six-hundred-hundred-hundred-fourth triangle.
422. Draw the hundred-six-hundred-hundred-hundred-fifth triangle.
423. Draw the hundred-six-hundred-hundred-hundred-sixth triangle.
424. Draw the hundred-six-hundred-hundred-hundred-seventh triangle.
425. Draw the hundred-six-hundred-hundred-hundred-eighth triangle.
426. Draw the hundred-six-hundred-hundred-hundred-ninth triangle.
427. Draw the hundred-seven-hundred-hundred-hundredth triangle.
428. Draw the hundred-seven-hundred-hundred-hundred-first triangle.
429. Draw the hundred-seven-hundred-hundred-hundred-second triangle.
430. Draw the hundred-seven-hundred-hundred-hundred-third triangle.
431. Draw the hundred-seven-hundred-hundred-hundred-fourth triangle.
432. Draw the hundred-seven-hundred-hundred-hundred-fifth triangle.
433. Draw the hundred-seven-hundred-hundred-hundred-sixth triangle.
434. Draw the hundred-seven-hundred-hundred-hundred-seventh triangle.
435. Draw the hundred-seven-hundred-hundred-hundred-eighth triangle.
436. Draw the hundred-seven-hundred-hundred-hundred-ninth triangle.
437. Draw the hundred-eight-hundred-hundred-hundredth triangle.
438. Draw the hundred-eight-hundred-hundred-hundred-first triangle.
439. Draw the hundred-eight-hundred-hundred-hundred-second triangle.
440. Draw the hundred-eight-hundred-hundred-hundred-third triangle.
441. Draw the hundred-eight-hundred-hundred-hundred-fourth triangle.
442. Draw the hundred-eight-hundred-hundred-hundred-fifth triangle.
443. Draw the hundred-eight-hundred-hundred-hundred-sixth triangle.
444. Draw the hundred-eight-hundred-hundred-hundred-seventh triangle.
445. Draw the hundred-eight-hundred-hundred-hundred-eighth triangle.
446. Draw the hundred-eight-hundred-hundred-hundred-ninth triangle.
447. Draw the hundred-nine-hundred-hundred-hundredth triangle.
448. Draw the hundred-nine-hundred-hundred-hundred-first triangle.
449. Draw the hundred-nine-hundred-hundred-hundred-second triangle.
450. Draw the hundred-nine-hundred-hundred-hundred-third triangle.
451. Draw the hundred-nine-hundred-hundred-hundred-fourth triangle.
452. Draw the hundred-nine-hundred-hundred-hundred-fifth triangle.
453. Draw the hundred-nine-hundred-hundred-hundred-sixth triangle.
454. Draw the hundred-nine-hundred-hundred-hundred-seventh triangle.
455. Draw the hundred-nine-hundred-hundred-hundred-eighth triangle.
456. Draw the hundred-nine-hundred-hundred-hundred-ninth triangle.
457. Draw the hundred-one-hundred-hundred-hundredth triangle.
458. Draw the hundred-one-hundred-hundred-hundred-first triangle.
459. Draw the hundred-one-hundred-hundred-hundred-second triangle.
460. Draw the hundred-one-hundred-hundred-hundred-third triangle.
461. Draw the hundred-one-hundred-hundred-hundred-fourth triangle.
462. Draw the hundred-one-hundred-hundred-hundred-fifth triangle.
463. Draw the hundred-one-hundred-hundred-hundred-sixth triangle.
464. Draw the hundred-one-hundred-hundred-hundred-seventh triangle.
465. Draw the hundred-one-hundred-hundred-hundred-eighth triangle.
466. Draw the hundred-one-hundred-hundred-hundred-ninth triangle.
467. Draw the hundred-two-hundred-hundred-hundredth triangle.
468. Draw the hundred-two-hundred-hundred-hundred-first triangle.
469. Draw the hundred-two-hundred-hundred-hundred-second triangle.
470. Draw the hundred-two-hundred-hundred-hundred-third triangle.
471. Draw the hundred-two-hundred-hundred-hundred-fourth triangle.
472. Draw the hundred-two-hundred-hundred-hundred-fifth triangle.
473. Draw the hundred-two-hundred-hundred-hundred-sixth triangle.
474. Draw the hundred-two-hundred-hundred-hundred-seventh triangle.
475. Draw the hundred-two-hundred-hundred-hundred-eighth triangle.
476. Draw the hundred-two-hundred-hundred-hundred-ninth triangle.
477. Draw the hundred-three-hundred-hundred-hundredth triangle.
478. Draw the hundred-three-hundred-hundred-hundred-first triangle.
479. Draw the hundred-three-hundred-hundred-hundred-second triangle.
480. Draw the hundred-three-hundred-hundred-hundred-third triangle.
481. Draw the hundred-three-hundred-hundred-hundred-fourth triangle.
482. Draw the hundred-three-hundred-hundred-hundred-fifth triangle.
483. Draw the hundred-three-hundred-hundred-hundred-sixth triangle.
484. Draw the hundred-three-hundred-hundred-hundred-seventh triangle.
485. Draw the hundred-three-hundred-hundred-hundred-eighth triangle.
486. Draw the hundred-three-hundred-hundred-hundred-ninth triangle.
487. Draw the hundred-four-hundred-hundred-hundredth triangle.
488. Draw the hundred-four-hundred-hundred-hundred-first triangle.
489. Draw the hundred-four-hundred-hundred-hundred-second triangle.
490. Draw the hundred-four-hundred-hundred-hundred-third triangle.
491. Draw the hundred-four-hundred-hundred-hundred-fourth triangle.
492. Draw the hundred-four-hundred-hundred-hundred-fifth triangle.
493. Draw the hundred-four-hundred-hundred-hundred-sixth triangle.
494. Draw the hundred-four-hundred-hundred-hundred-seventh triangle.
495. Draw the hundred-four-hundred-hundred-hundred-eighth triangle.
496. Draw the hundred-four-hundred-hundred-hundred-ninth triangle.
497. Draw the hundred-five-hundred-hundred-hundredth triangle.
498. Draw the hundred-five-hundred-hundred-hundred-first triangle.
499. Draw the hundred-five-hundred-hundred-hundred-second triangle.
500. Draw the hundred-five-hundred-hundred-hundred-third triangle.
501. Draw the hundred-five-hundred-hundred-hundred-fourth triangle.
502. Draw the hundred-five-hundred-hundred-hundred-fifth triangle.
503. Draw the hundred-five-hundred-hundred-hundred-sixth triangle.
504. Draw the hundred-five-hundred-hundred-hundred-seventh triangle.
505. Draw the hundred-five-hundred-hundred-hundred-eighth triangle.
506. Draw the hundred-five-hundred-hundred-hundred-ninth triangle.
507. Draw the hundred-six-hundred-hundred-hundredth triangle.
508. Draw the hundred-six-hundred-hundred-hundred-first triangle.
509. Draw the hundred-six-hundred-hundred-hundred-second triangle.
510. Draw the hundred-six-hundred-hundred-hundred-third triangle.
511. Draw the hundred-six-hundred-hundred-hundred-fourth triangle.
512. Draw the hundred-six-hundred-hundred-hundred-fifth triangle.
513. Draw the hundred-six-hundred-hundred-hundred-sixth triangle.
514. Draw the hundred-six-hundred-hundred-hundred-seventh triangle.
515. Draw the hundred-six-hundred-hundred-hundred-eighth triangle.
516. Draw the hundred-six-hundred-hundred-hundred-ninth triangle.
517. Draw the hundred-seven-hundred-hundred-hundredth triangle.
518. Draw the hundred-seven-hundred-hundred-hundred-first triangle.
519. Draw the hundred-seven-hundred-hundred-hundred-second triangle.
520. Draw the hundred-seven-hundred-hundred-hundred-third triangle.
521. Draw the hundred-seven-hundred-hundred-hundred-fourth triangle.
522. Draw the hundred-seven-hundred-hundred-hundred-fifth triangle.
523. Draw the hundred-seven-hundred-hundred-hundred-sixth triangle.
524. Draw the hundred-seven-hundred-hundred-hundred-seventh triangle.
525. Draw the hundred-seven-hundred-hundred-hundred-eighth triangle.
526. Draw the hundred-seven-hundred-hundred-hundred-ninth triangle.
527. Draw the hundred-eight-hundred-hundred-hundredth triangle.
528. Draw the hundred-eight-hundred-hundred-hundred-first triangle.
529. Draw the hundred-eight-hundred-hundred-hundred-second triangle.
530. Draw the hundred-eight-hundred-hundred-hundred-third triangle.
531. Draw the hundred-eight-hundred-hundred-hundred-fourth triangle.
532. Draw the hundred-eight-hundred-hundred-hundred-fifth triangle.
533. Draw the hundred-eight-hundred-hundred-hundred-sixth triangle.
534. Draw the hundred-eight-hundred-hundred-hundred-seventh triangle.
535. Draw the hundred-eight-hundred-hundred-hundred-eighth triangle.
536. Draw the hundred-eight-hundred-hundred-hundred-ninth triangle.
537. Draw the hundred-nine-hundred-hundred-hundredth triangle.
538. Draw the hundred-nine-hundred-hundred-hundred-first triangle.
539. Draw the hundred-nine-hundred-hundred-hundred-second triangle.
540. Draw the hundred-nine-hundred-hundred-hundred-third triangle.
541. Draw the hundred-nine-hundred-hundred-hundred-fourth triangle.
542. Draw the hundred-nine-hundred-hundred-hundred-fifth triangle.
543. Draw the hundred-nine-hundred-hundred-hundred-sixth triangle.
544. Draw the hundred-nine-hundred-hundred-hundred-seventh triangle.
545. Draw the hundred-nine-hundred-hundred-hundred-eighth triangle.
546. Draw the hundred-nine-hundred-hundred-hundred-ninth triangle.
547. Draw the hundred-one-hundred-hundred-hundredth triangle.
